pid,location,property_type,appraisal_2025,assessment_2025,appraisal_2024,assessment_2024,appraisal_2023,assessment_2023,appraisal_2022,assessment_2022,appraisal_2021,assessment_2021
1675,77 BOMHOWER ST EXT,,145100,145100,75100,75100,75100,75100,0,0,,
1676,78 BOMHOWER ST EXT,,88400,88400,46300,46300,46300,46300,46300,46300,,
1677,4 BOMHOWER ST,RESIDENTIAL,424200,424200,302300,302300,302300,302300,302300,302300,,
1678,2 BOMHOWER ST,,80900,80900,40300,40300,40300,40300,44200,44200,,
1679,163 MASCOMA ST,RESIDENTIAL,322800,322800,221800,221800,221700,221700,221700,221700,,
1680,8 PEABODY ST,RESIDENTIAL,287400,287400,210100,210100,210000,210000,210000,210000,,
1681,12 PEABODY ST,RESIDENTIAL,278600,278600,199800,199800,199800,199800,199800,199800,,
1682,16 PEABODY ST,RESIDENTIAL,332300,332300,195300,195300,195200,195200,169900,169900,,
1683,18 PEABODY ST,RESIDENTIAL,331600,331600,242800,242800,242800,242800,242800,242800,,
1684,20 PEABODY ST,RESIDENTIAL,380700,380700,258300,258300,258300,258300,258300,258300,,
1685,22 PEABODY ST,RESIDENTIAL,370500,370500,271900,271900,271900,271900,271900,271900,,
1686,24 PEABODY ST,,155300,155300,107300,107300,107300,107300,107300,107300,,
1687,25 PEABODY ST,RESIDENTIAL,334200,334200,242100,242100,242100,242100,242100,242100,,
1688,023B PEABODY ST,,364400,364400,245800,245800,245800,245800,245800,245800,,
1689,19 PEABODY ST,RESIDENTIAL,349500,349500,260600,260600,260600,260600,260600,260600,,
1690,15 PEABODY ST,RESIDENTIAL,343400,343400,244500,244500,304500,304500,171500,171500,,
1691,11 PEABODY ST,RESIDENTIAL,355000,355000,264500,264500,264500,264500,264500,264500,,
1692,155 MASCOMA ST,RESIDENTIAL,461400,461400,354300,354300,354200,354200,354200,354200,,
1693,10 ALICE PECK DAY DR,COMMERCIAL,33939380,33939380,30837700,30837700,30479200,30479200,30479200,30479200,,
1694,77 MASCOMA ST,RESIDENTIAL,381700,381700,276900,276900,276900,276900,276900,276900,,
1695,71 MASCOMA ST,RESIDENTIAL,365900,365900,258600,258600,258600,258600,258600,258600,,
1696,69 MASCOMA ST,RESIDENTIAL,412700,412700,282400,282400,282400,282400,282400,282400,,
1697,65 MASCOMA ST,COMMERCIAL,421800,421800,292300,292300,290400,290400,290400,290400,,
1698,63 MASCOMA ST,RESIDENTIAL,433300,433300,321900,321900,321900,321900,321900,321900,,
1699,8 CAMERON AVE,RESIDENTIAL,372000,372000,275900,275900,275800,275800,275800,275800,,
1700,8 WORTHEN ST,RESIDENTIAL,410400,410400,310100,310100,310100,310100,310100,310100,,
1701,12 WORTHEN ST,RESIDENTIAL,425000,425000,307200,307200,307100,307100,307100,307100,,
1702,14 WORTHEN ST,RESIDENTIAL,414300,414300,305000,305000,304900,304900,304900,304900,,
1703,14 YOUNG ST,RESIDENTIAL,359400,359400,253000,253000,252900,252900,252900,252900,,
1704,16 YOUNG ST,RESIDENTIAL,300600,300600,211200,211200,211200,211200,211200,211200,,
1705,18 YOUNG ST,RESIDENTIAL,319600,319600,223000,223000,223000,223000,223000,223000,,
1706,22 YOUNG ST,RESIDENTIAL,565100,565100,415100,415100,415100,415100,415100,415100,,
1707,24 YOUNG ST,RESIDENTIAL,564500,564500,393800,393800,393800,393800,393800,393800,,
1708,26 YOUNG ST,RESIDENTIAL,401900,401900,289600,289600,289700,289700,289700,289700,,
1709,28 YOUNG ST,RESIDENTIAL,465500,465500,351500,351500,344900,344900,344900,344900,,
1710,32 YOUNG ST,RESIDENTIAL,373000,373000,266200,266200,266200,266200,266200,266200,,
1711,34 YOUNG ST,RESIDENTIAL,352500,352500,262400,262400,262500,262500,262500,262500,,
1712,36 YOUNG ST,RESIDENTIAL,290400,290400,209200,209200,209200,209200,209200,209200,,
1713,44 YOUNG ST,RESIDENTIAL,333600,333600,245100,245100,245100,245100,245100,245100,,
1714,48 YOUNG ST,RESIDENTIAL,587700,587700,436000,436000,436000,436000,436000,436000,,
1715,52 YOUNG ST,RESIDENTIAL,515100,515100,374600,374600,376400,376400,376400,376400,,
1716,54 YOUNG ST,RESIDENTIAL,461800,461800,352800,352800,352900,352900,352900,352900,,
1717,58 YOUNG ST,RESIDENTIAL,421300,421300,308100,308100,308000,308000,308000,308000,,
1718,60 YOUNG ST,RESIDENTIAL,393000,393000,287400,287400,255700,255700,255700,255700,,
1719,40 HOUGH ST,RESIDENTIAL,729000,729000,501200,501200,501200,501200,501200,501200,,
1720,41 HOUGH ST,RESIDENTIAL,693300,693300,544700,544700,544800,544800,551200,551200,,
1721,66 YOUNG ST,RESIDENTIAL,496300,496300,353900,353900,353800,353800,353800,353800,,
1722,70 YOUNG ST,RESIDENTIAL,322500,322500,229000,229000,229000,229000,229000,229000,,
1723,84 ELDRIDGE ST,RESIDENTIAL,332100,332100,237600,237600,237500,237500,237500,237500,,
1724,38 ELDRIDGE ST,RESIDENTIAL,485500,485500,353300,353300,353300,353300,353300,353300,,
1725,42 ELDRIDGE ST,RESIDENTIAL,359200,359200,256000,256000,255500,255500,255500,255500,,
1726,46 ELDRIDGE ST,RESIDENTIAL,476700,476700,349900,349900,349900,349900,331600,331600,,
1727,50 ELDRIDGE ST,RESIDENTIAL,517600,517600,361000,361000,361000,361000,361000,361000,,
1728,54 ELDRIDGE ST,RESIDENTIAL,404800,404800,277700,277700,277700,277700,277700,277700,,
1729,56 ELDRIDGE ST,RESIDENTIAL,407000,407000,282000,282000,282000,282000,282000,282000,,
1730,31 HOUGH ST,RESIDENTIAL,540300,540300,406900,406900,406900,406900,384200,384200,,
1731,27 HOUGH ST,RESIDENTIAL,577800,577800,398100,398100,398200,398200,398200,398200,,
1732,25 HOUGH ST,RESIDENTIAL,461500,461500,328500,328500,328600,328600,328600,328600,,
1733,23 HOUGH ST,RESIDENTIAL,335600,335600,254900,254900,254900,254900,254900,254900,,
1734,21 HOUGH ST,RESIDENTIAL,457500,457500,321900,321900,322000,322000,322000,322000,,
1735,48 GRANITE ST,RESIDENTIAL,359900,359900,250000,250000,250000,250000,250000,250000,,
1736,22 HOUGH ST,RESIDENTIAL,377800,377800,276100,276100,276100,276100,276100,276100,,
1737,24 HOUGH ST,RESIDENTIAL,467500,467500,333900,333900,334000,334000,334000,334000,,
1738,26 HOUGH ST,RESIDENTIAL,441900,441900,314700,314700,314700,314700,314700,314700,,
1739,28 HOUGH ST,RESIDENTIAL,501200,501200,398800,398800,398800,398800,398800,398800,,
1740,30 HOUGH ST,RESIDENTIAL,538000,538000,385200,385200,385200,385200,358200,358200,,
1741,32 HOUGH ST,RESIDENTIAL,422300,422300,346200,346200,346200,346200,346200,346200,,
1742,62 YOUNG ST,RESIDENTIAL,481000,481000,344900,344900,344800,344800,344800,344800,,
1743,29 FAIRVIEW AVE,RESIDENTIAL,514600,514600,336800,336800,336700,336700,336700,336700,,
1744,25 FAIRVIEW AVE,RESIDENTIAL,348400,348400,246700,246700,246700,246700,246700,246700,,
1745,24 FAIRVIEW AVE,RESIDENTIAL,521700,521700,352600,352600,352700,352700,352700,352700,,
1746,26 FAIRVIEW AVE,RESIDENTIAL,441600,441600,301000,301000,300900,300900,300900,300900,,
1747,0 FAIRVIEW AVE,,77700,77700,63300,63300,63300,63300,63300,63300,,
1748,61 YOUNG ST,RESIDENTIAL,421900,421900,299700,299700,299600,299600,299600,299600,,
1749,59 YOUNG ST,RESIDENTIAL,378000,378000,277200,277200,277200,277200,277200,277200,,
1750,33 MASON ST,RESIDENTIAL,397600,397600,274700,274700,274600,274600,274600,274600,,
1751,27 MASON ST,RESIDENTIAL,293400,293400,207800,207800,207700,207700,207700,207700,,
1752,23 MASON ST,RESIDENTIAL,349700,349700,270400,270400,270500,270500,270500,270500,,
1753,19 MASON ST,RESIDENTIAL,189000,189000,148600,148600,148700,148700,148700,148700,,
1754,32 GRANITE ST,RESIDENTIAL,374400,374400,258100,258100,258100,258100,258100,258100,,
1755,24 MASON ST,RESIDENTIAL,344400,344400,243600,243600,243700,243700,243700,243700,,
1756,26-28 MASON ST,COMMERCIAL,544000,544000,381200,381200,381100,381100,381100,381100,,
1757,35 WEST ST,RESIDENTIAL,411700,411700,318700,318700,318600,318600,318600,318600,,
1758,55 YOUNG ST,RESIDENTIAL,390000,390000,292900,292900,292900,292900,292900,292900,,
1759,39 WEST ST,RESIDENTIAL,453400,453400,325400,325400,325300,325300,325300,325300,,
1760,37 WEST ST,RESIDENTIAL,297800,297800,224200,224200,224200,224200,224200,224200,,
1761,33 WEST ST,RESIDENTIAL,429100,429100,309800,309800,309900,309900,309900,309900,,
1762,29 WEST ST,RESIDENTIAL,482800,482800,359600,359600,359600,359600,327200,327200,,
1763,25 WEST ST,RESIDENTIAL,411500,411500,285900,285900,285800,285800,285800,285800,,
1764,21 WEST ST,RESIDENTIAL,327900,327900,243400,243400,243400,243400,243400,243400,,
1765,20 WEST ST,RESIDENTIAL,432600,432600,331300,331300,331400,331400,331400,331400,,
1766,24 WEST ST,COMMERCIAL,693000,693000,427600,427600,430800,430800,430800,430800,,
1767,30 WEST ST,RESIDENTIAL,251000,251000,185200,185200,185200,185200,185200,185200,,
1768,8 CHILD ST,RESIDENTIAL,632400,632400,509400,509400,509400,509400,469100,469100,,
1769,36 WEST ST,RESIDENTIAL,469400,469400,348300,348300,348300,348300,348300,348300,,
1770,38 WEST ST,RESIDENTIAL,306600,306600,235100,235100,235200,235200,235200,235200,,
1771,40 WEST ST,RESIDENTIAL,584600,584600,440000,440000,439900,439900,439900,439900,,
1772,14 CHILD ST,RESIDENTIAL,375100,375100,285100,285100,285100,285100,285100,285100,,
1773,10 CHILD ST,RESIDENTIAL,522200,522200,358700,358700,358600,358600,358600,358600,,
1774,4 CHILD ST,RESIDENTIAL,385800,385800,264000,264000,263700,263700,263700,263700,,
1775,24 GRANITE ST,COMMERCIAL,475900,475900,339900,339900,365500,365500,365500,365500,,
1776,18 GRANITE ST,RESIDENTIAL,459100,459100,414900,414900,251800,251800,251800,251800,,
1777,5 CHILD ST,RESIDENTIAL,462700,462700,331900,331900,331900,331900,335700,335700,,
1778,7 CHILD ST,RESIDENTIAL,421200,421200,304400,304400,304400,304400,304400,304400,,
1779,9 CHILD ST,RESIDENTIAL,333700,333700,248400,248400,248300,248300,245000,245000,,
1780,37 YOUNG ST,RESIDENTIAL,338100,338100,239300,239300,239200,239200,239200,239200,,
1781,33 YOUNG ST,RESIDENTIAL,706200,706200,490900,490900,496700,496700,496700,496700,,
1782,6 BLISS ST,RESIDENTIAL,337000,337000,238100,238100,238100,238100,240900,240900,,
1783,5 BLISS ST,RESIDENTIAL,354900,354900,271800,271800,271900,271900,271900,271900,,
1784,44 GUYER ST,RESIDENTIAL,343100,343100,255200,255200,255200,255200,255200,255200,,
1785,42 GUYER ST,RESIDENTIAL,280900,280900,210200,210200,210200,210200,210200,210200,,
1786,40 GUYER ST,RESIDENTIAL,398600,398600,292600,292600,292600,292600,292600,292600,,
1787,38 GUYER ST,RESIDENTIAL,327200,327200,228800,228800,228800,228800,228800,228800,,
1788,34 GUYER ST,RESIDENTIAL,375700,375700,291600,291600,291600,291600,291600,291600,,
1789,30 GUYER ST,RESIDENTIAL,335800,335800,244200,244200,244300,244300,244300,244300,,
1790,26 GUYER ST,RESIDENTIAL,454600,454600,338000,338000,338000,338000,338000,338000,,
1791,24 GUYER ST,RESIDENTIAL,338600,338600,252000,252000,252000,252000,252000,252000,,
1792,12 GRANITE ST,RESIDENTIAL,362400,362400,268900,268900,268900,268900,268900,268900,,
1793,27 GUYER ST,RESIDENTIAL,550700,550700,383200,383200,383200,383200,369400,369400,,
1794,31 GUYER ST,RESIDENTIAL,567600,567600,304100,304100,304000,304000,304000,304000,,
1795,35 GUYER ST,RESIDENTIAL,523500,523500,383100,383100,383100,383100,383100,383100,,
1796,39 GUYER ST,RESIDENTIAL,451500,451500,351900,351900,351900,351900,351900,351900,,
1797,43 GUYER ST,RESIDENTIAL,321800,321800,218800,218800,218700,218700,218700,218700,,
1798,7 WORTHEN ST,RESIDENTIAL,367700,367700,272200,272200,272200,272200,272200,272200,,
1799,10 CAMERON AVE,,125700,125700,102100,102100,102100,102100,102100,102100,,
1800,9 CAMERON AVE,RESIDENTIAL,412300,412300,306100,306100,306000,306000,306000,306000,,
1801,7 CAMERON AVE,RESIDENTIAL,429100,429100,320900,320900,320900,320900,307600,307600,,
1802,57 MASCOMA ST,RESIDENTIAL,308400,308400,210700,210700,210700,210700,210700,210700,,
1803,55 MASCOMA ST,COMMERCIAL,602200,602200,444300,444300,437000,437000,437000,437000,,
1804,51 MASCOMA ST,RESIDENTIAL,530000,530000,369200,369200,369200,369200,369200,369200,,
1805,49 MASCOMA ST,RESIDENTIAL,462200,462200,333400,333400,333400,333400,333400,333400,,
1806,47 MASCOMA ST,RESIDENTIAL,516300,516300,332100,332100,332100,332100,332100,332100,,
1807,43 MASCOMA ST,RESIDENTIAL,522000,522000,402800,402800,402800,402800,402800,402800,,
1808,6 GRANITE ST,RESIDENTIAL,309300,309300,229500,229500,229500,229500,229500,229500,,
1809,8 GRANITE ST,RESIDENTIAL,439200,439200,331300,331300,331200,331200,331200,331200,,
1810,10 GRANITE ST,RESIDENTIAL,425500,425500,314600,314600,314600,314600,314600,314600,,
1811,9 GRANITE ST,RESIDENTIAL,367300,367300,282600,282600,282600,282600,282600,282600,,
1812,5 GRANITE ST,RESIDENTIAL,462200,462200,346700,346700,346700,346700,346700,346700,,
1813,39 MASCOMA ST,COMMERCIAL,548400,548400,390000,390000,390100,390100,390100,390100,,
1814,37 MASCOMA ST,RESIDENTIAL,393200,393200,308400,308400,308400,308400,308400,308400,,
1815,35 MASCOMA ST,RESIDENTIAL,440200,440200,310700,310700,307100,307100,307100,307100,,
1816,7 GUYER ST,RESIDENTIAL,441000,441000,334400,334400,334300,334300,334300,334300,,
1817,9 GUYER ST,RESIDENTIAL,386800,386800,294200,294200,294200,294200,294200,294200,,
1818,13 GUYER ST,RESIDENTIAL,407000,407000,300400,300400,300500,300500,300500,300500,,
1819,13 GRANITE ST,RESIDENTIAL,391300,391300,295900,295900,295800,295800,295700,295700,,
1820,14 GUYER ST,RESIDENTIAL,357400,357400,257800,257800,257700,257700,257700,257700,,
1821,12 GUYER ST,RESIDENTIAL,363400,363400,274800,274800,274700,274700,274700,274700,,
1822,29 MASCOMA ST,COMMERCIAL,664300,664300,608200,608200,608100,608100,671300,671300,,
1823,4 HIGH ST,RESIDENTIAL,475200,475200,308000,308000,308000,308000,308000,308000,,
1824,8 HIGH ST,COMMERCIAL,491500,491500,347500,347500,347400,347400,347400,347400,,
1825,12 HIGH ST,COMMERCIAL,682700,682700,474000,474000,473900,473900,473900,473900,,
1826,14 HIGH ST,COMMERCIAL,407700,407700,270200,270200,270200,270200,270200,270200,,
1827,16 HIGH ST,COMMERCIAL,1417100,1417100,1025200,1025200,1025200,1025200,1025200,1025200,,
1828,18 HIGH ST,RESIDENTIAL,380300,380300,289500,289500,289500,289500,285600,285600,,
1829,4 WEST ST,RESIDENTIAL,385000,385000,300400,300400,300400,300400,300400,300400,,
1830,06 1/2 BENNETT CT,RESIDENTIAL,292600,292600,224200,224200,224200,224200,224200,224200,,
1831,6 BENNETT CT,RESIDENTIAL,371300,371300,221200,221200,221200,221200,221200,221200,,
1832,6 WEST ST,RESIDENTIAL,387600,387600,280400,280400,280400,280400,280400,280400,,
1833,10 WEST ST 1,,200900,200900,133400,133400,133400,133400,133400,133400,,
1834,10 WEST ST 2,,176100,176100,116700,116700,116700,116700,116700,116700,,
1835,10 WEST ST 3,,170700,170700,113400,113400,113400,113400,113400,113400,,
1836,10 WEST ST 4,,175000,175000,116200,116200,116200,116200,115900,115900,,
1837,12 WEST ST,RESIDENTIAL,285300,285300,207000,207000,206900,206900,206900,206900,,
1838,24 JORDAN CT,RESIDENTIAL,368300,368300,281200,281200,281200,281200,280300,280300,,
1839,10 JORDAN CT,RESIDENTIAL,378000,378000,299200,299200,299100,299100,299100,299100,,
1840,7 JORDAN CT,RESIDENTIAL,305900,305900,228800,228800,228700,228700,228700,228700,,
1841,4 JORDAN CT,RESIDENTIAL,441000,441000,293600,293600,293600,293600,293600,293600,,
1842,16 WEST ST,RESIDENTIAL,333400,333400,248800,248800,248700,248700,248700,248700,,
1843,17 WEST ST,RESIDENTIAL,326000,326000,249800,249800,249800,249800,249800,249800,,
1844,15 WEST ST,COMMERCIAL,449600,449600,317200,317200,317200,317200,317200,317200,,
1845,9 WEST ST,RESIDENTIAL,323800,323800,237500,237500,237500,237500,237500,237500,,
1846,5 WEST ST,RESIDENTIAL,388600,388600,297900,297900,297900,297900,297900,297900,,
1847,3 WEST ST,RESIDENTIAL,360900,360900,277300,277300,277300,277300,277300,277300,,
1848,1 WEST ST,RESIDENTIAL,307500,307500,230500,230500,230500,230500,230500,230500,,
1849,24 HIGH ST,,231100,231100,188100,188100,188100,188100,188100,188100,,
1850,4 LIGHT ST,,139300,139300,106400,106400,106400,106400,106400,106400,,
1851,6 LIGHT ST,RESIDENTIAL,375000,375000,276200,276200,276200,276200,276200,276200,,
1852,8 LIGHT ST,RESIDENTIAL,412900,412900,314800,314800,314800,314800,314800,314800,,
1853,10 LIGHT ST,RESIDENTIAL,86800,86800,68800,68800,102300,102300,102300,102300,,
1854,31 GRANITE ST,RESIDENTIAL,349000,349000,270700,270700,270800,270800,277100,277100,,
1855,33 GRANITE ST,RESIDENTIAL,293000,293000,192400,192400,192500,192500,192500,192500,,
1856,11 LIGHT ST,RESIDENTIAL,360400,360400,277300,277300,277300,277300,277300,277300,,
1857,7 LIGHT ST,RESIDENTIAL,401100,401100,267800,267800,267700,267700,267900,267900,,
1858,5 LIGHT ST,RESIDENTIAL,414200,414200,343300,343300,343300,343300,343300,343300,,
1859,38 HIGH ST,COMMERCIAL,565100,565100,358000,358000,358000,358000,358000,358000,,
1860,2 FAIRVIEW AVE,COMMERCIAL,501800,501800,321000,321000,321000,321000,321000,321000,,
1861,6 FAIRVIEW AVE,RESIDENTIAL,468900,468900,335500,335500,335600,335600,335600,335600,,
1862,14 FAIRVIEW AVE,RESIDENTIAL,480900,480900,363800,363800,363800,363800,363800,363800,,
1863,18 FAIRVIEW AVE,RESIDENTIAL,471500,471500,330600,330600,330500,330500,330500,330500,,
1864,22 FAIRVIEW AVE,RESIDENTIAL,404800,404800,291600,291600,291500,291500,291500,291500,,
1865,21 FAIRVIEW AVE,RESIDENTIAL,447200,447200,309400,309400,309400,309400,309400,309400,,
1866,19 FAIRVIEW AVE,RESIDENTIAL,432400,432400,331300,331300,331200,331200,331200,331200,,
1867,17 FAIRVIEW AVE,RESIDENTIAL,444400,444400,299000,299000,299000,299000,299000,299000,,
1868,13 FAIRVIEW AVE,RESIDENTIAL,419500,419500,317900,317900,317900,317900,317900,317900,,
1869,7 FAIRVIEW AVE,RESIDENTIAL,712300,712300,531200,531200,531300,531300,531300,531300,,
1870,2 HOUGH ST,COMMERCIAL,3510600,3510600,2744600,2744600,2744600,2744600,2744600,2744600,,
1871,4 HOUGH ST,RESIDENTIAL,489600,489600,351500,351500,351400,351400,347600,347600,,
1872,8 HOUGH ST,RESIDENTIAL,354200,354200,242200,242200,242200,242200,242200,242200,,
1873,12 HOUGH ST,RESIDENTIAL,477500,477500,380200,380200,380300,380300,374400,374400,,
1874,14 HOUGH ST,RESIDENTIAL,464000,464000,330300,330300,330300,330300,330300,330300,,
1875,16 HOUGH ST,RESIDENTIAL,507200,507200,370400,370400,370400,370400,370400,370400,,
1876,19 HOUGH ST,RESIDENTIAL,418400,418400,300200,300200,300200,300200,300200,300200,,
1877,17 HOUGH ST,RESIDENTIAL,463900,463900,330300,330300,330300,330300,330300,330300,,
1878,13 HOUGH ST,RESIDENTIAL,520400,520400,371000,371000,371000,371000,376500,376500,,
1879,11 HOUGH ST,RESIDENTIAL,412700,412700,328900,328900,328900,328900,328900,328900,,
1880,9 HOUGH ST,RESIDENTIAL,411600,411600,292900,292900,292900,292900,292900,292900,,
1881,07-1/2 HOUGH ST,RESIDENTIAL,463500,463500,313200,313200,313200,313200,313200,313200,,
1882,7 HOUGH ST,RESIDENTIAL,455500,455500,308400,308400,308400,308400,308400,308400,,
1883,5 HOUGH ST,RESIDENTIAL,483700,483700,331800,331800,331800,331800,331800,331800,,
1884,3 HOUGH ST,RESIDENTIAL,569300,569300,370300,370300,370300,370300,370300,370300,,
1885,1 HOUGH ST,RESIDENTIAL,561200,561200,404000,404000,404000,404000,404000,404000,,
1886,60 HANOVER ST,COMMERCIAL,751000,751000,664900,664900,664900,664900,664900,664900,,
1887,62 HANOVER ST,COMMERCIAL,581900,581900,403300,403300,403300,403300,403300,403300,,
1888,66 HANOVER ST,,166000,166000,111100,111100,111100,111100,111100,111100,,
1889,70 HANOVER ST,COMMERCIAL,491700,491700,426400,426400,426400,426400,426400,426400,,
1890,72 HANOVER ST,RESIDENTIAL,487700,487700,334700,334700,334700,334700,334700,334700,,
1891,74 HANOVER ST,RESIDENTIAL,381300,381300,268900,268900,268900,268900,268900,268900,,
1892,76 HANOVER ST,COMMERCIAL,581500,581500,397300,397300,397200,397200,397200,397200,,
1893,12 ELDRIDGE ST,RESIDENTIAL,514100,514100,333300,333300,333300,333300,333300,333300,,
1894,14 ELDRIDGE ST,RESIDENTIAL,323800,323800,244000,244000,244000,244000,244000,244000,,
1895,16 ELDRIDGE ST,RESIDENTIAL,389200,389200,267600,267600,267600,267600,267600,267600,,
1896,18 ELDRIDGE ST,RESIDENTIAL,351200,351200,244200,244200,244200,244200,244200,244200,,
1897,22 ELDRIDGE ST,COMMERCIAL,439100,439100,334600,334600,334600,334600,334600,334600,,
1898,24 ELDRIDGE ST,RESIDENTIAL,482500,482500,320900,320900,320900,320900,320900,320900,,
1899,26 ELDRIDGE ST,RESIDENTIAL,288200,288200,213400,213400,213400,213400,210300,210300,,
1900,28 ELDRIDGE ST,RESIDENTIAL,349900,349900,265700,265700,270400,270400,270400,270400,,
1901,32 ELDRIDGE ST,RESIDENTIAL,313000,313000,229000,229000,229000,229000,221600,221600,,
1902,84 HANOVER ST,COMMERCIAL,887800,887800,821600,821600,821600,821600,821600,821600,,
1903,87 HANOVER ST,INDUSTRIAL,1648014,1648015,1382600,1382600,1382600,1382600,1382600,1382600,,
1904,79 HANOVER ST,COMMERCIAL,942600,942600,841400,841400,841300,841300,841300,841300,,
1905,75 HANOVER ST,RESIDENTIAL,497500,497500,378300,378300,378500,378500,378500,378500,,
1906,71 HANOVER ST,RESIDENTIAL,495700,495700,472700,472700,472600,472600,472600,472600,,
1907,67 HANOVER ST,,56300,56300,46600,46600,46600,46600,46600,46600,,
1908,69 HANOVER ST,COMMERCIAL,291567,291565,261300,261300,261300,261300,261300,261300,,
1909,65 HANOVER ST,COMMERCIAL,1419300,1419300,998200,998200,998200,998200,998000,702000,,
1910,63 HANOVER ST,COMMERCIAL,355980,355980,304700,304700,304700,304700,304700,304700,,
1911,59 HANOVER ST,COMMERCIAL,741817,741815,649200,649200,637900,637900,637900,637900,,
1912,57 HANOVER ST,COMMERCIAL,303091,303090,264500,264500,264500,264500,264500,264500,,
1913,55 HANOVER ST,COMMERCIAL,195176,195175,167400,167400,167400,167400,167400,167400,,
1914,9 HIGH ST,COMMERCIAL,2863400,2863400,2319200,2319200,2319200,2319200,2319200,2319200,,
1915,0 HANOVER ST,,8500,8500,7100,7100,7100,7100,7100,7100,,
1916,5 HIGH ST,COMMERCIAL,426600,426600,375500,375500,375500,375500,375500,375500,,
1917,1 HIGH ST,COMMERCIAL,247700,247700,212000,212000,212000,212000,212000,212000,,
1918,17 MASCOMA ST,COMMERCIAL,414900,414900,357500,357500,357500,357500,357500,357500,,
1919,0 HANOVER ST,,2800,2800,2300,2300,2300,2300,2300,2300,,
1920,0 HANOVER ST,,1950600,1950600,1452600,1452600,1452600,1452600,1452600,1452600,,
1921,20 W PARK ST,COMMERCIAL,1534200,1534200,1556100,1556100,1556100,1556100,1556100,1556100,,
1922,2 W PARK ST,COMMERCIAL,1491900,1491900,1438900,1438900,1438900,1438900,1438900,1438900,,
1923,20-22 HANOVER ST,COMMERCIAL,828700,828700,746000,746000,746000,746000,746000,746000,,
1924,24 HANOVER ST,COMMERCIAL,1060800,1060800,964700,964700,964600,964600,964600,964600,,
1925,0 HANOVER ST,,475900,475900,355700,355700,355600,355600,355600,355600,,
1926,45 HANOVER ST,COMMERCIAL,2119400,2119400,1142100,1142100,875900,875900,875900,875900,,
1928,31 HANOVER ST,COMMERCIAL,738500,738500,678100,678100,678100,678100,678100,678100,,
1929,15 HANOVER ST,COMMERCIAL,1957900,1957900,1555500,1555500,1555500,1555500,1555500,1555500,,
1930,9 HANOVER ST,COMMERCIAL,1089000,1089000,1016000,1016000,1016000,1016000,1016000,1016000,,
1931,1 COURT ST,COMMERCIAL,3919600,3919600,3740400,3740400,3740400,3740400,3740400,3740400,,
1932,0 FLYNN ST,,610100,610100,371400,371400,361900,361900,350600,350600,,
1933,51 N PARK ST,COMMERCIAL,5764300,5764300,4245500,4245500,4181000,4181000,3215200,3215200,,
1934,67 N PARK ST,COMMERCIAL,2467200,2467200,2202700,2202700,2202700,2202700,2202700,2202700,,
1935,55 N PARK ST,COMMERCIAL,910700,910700,736700,736700,736700,736700,736700,736700,,
1936,10 S PARK ST,COMMERCIAL,1764600,1764600,1396700,1396700,1396900,1396900,1396900,1396900,,
1938,14 CHURCH ST,RESIDENTIAL,582500,582500,443200,443200,443200,443200,327600,327600,,
1939,12 S PARK ST,INDUSTRIAL,481200,481200,1499200,1499200,1499000,1499000,1514900,1514900,,
1940,2 MASCOMA ST,COMMERCIAL,2273900,2273900,2085800,2085800,2085800,2085800,2052800,2052800,,
1941,0 WATER ST,,254091,254091,199600,199600,199600,199600,199600,199600,,
1942,21 WATER ST,COMMERCIAL,424900,424900,377800,377800,377800,377800,305800,305800,,
1943,12 WATER ST,INDUSTRIAL,1545886,1545886,1205900,1205900,1205900,1205900,1205900,1205900,,
1944,10 WATER ST,INDUSTRIAL,2316760,2316760,2106500,2106500,2106500,2106500,2106500,2106500,,
1945,18 MASCOMA ST,COMMERCIAL,225700,225700,199500,199500,199500,199500,199500,199500,,
1946,18 1/2 MASCOMA ST,COMMERCIAL,283200,283200,244400,244400,244400,244400,321100,321100,,
1947,0 FOUNDRY ST,,42700,42700,28600,28600,28600,28600,28600,28600,,
1948,1 FOUNDRY ST,INDUSTRIAL,1177900,1177900,1028300,1028300,971800,971800,1249300,1249300,,
1949,1 MECHANIC ST,COMMERCIAL,1517300,285900,285900,285900,285900,285900,610000,333100,,
1950,5 MECHANIC ST,RESIDENTIAL,472300,472300,251800,251800,251800,251800,251800,251800,,
1951,9 MECHANIC ST,COMMERCIAL,524600,524600,294000,294000,294000,294000,294000,294000,,
1953,39 MECHANIC ST,COMMERCIAL,477400,477400,427700,427700,427600,427600,427600,427600,,
1954,50 MECHANIC ST,COMMERCIAL,692400,692400,493400,493400,493400,493400,493400,493400,,
1955,48 MECHANIC ST,RESIDENTIAL,414500,414500,314500,314500,314500,314500,314500,314500,,
1956,44 MECHANIC ST,RESIDENTIAL,326700,326700,235700,235700,235700,235700,245400,245400,,
1957,42 MECHANIC ST,RESIDENTIAL,226700,226700,172500,172500,172700,172700,172700,172700,,
1958,40 MECHANIC ST,RESIDENTIAL,342900,342900,242200,242200,242200,242200,242200,242200,,
1959,36 MECHANIC ST,RESIDENTIAL,292100,292100,221000,221000,221000,221000,221000,221000,,
1960,34 MECHANIC ST,RESIDENTIAL,285300,285300,218300,218300,218300,218300,218300,218300,,
1961,32 MECHANIC ST,RESIDENTIAL,290800,290800,214300,214300,214300,214300,214300,214300,,
